,Name,Ticker,marketCap,pbRatio,peRatio,divYield,bookValue,epsTtm,roe,industryPe,cappedType,dividendYieldInPercent,faceValue,returnOnAssets,operatingProfitMargin,netProfitMargin,evToSales,evToEbitda,earningsYield,sectorPb,sectorDivYield,sectorRoe,sectorRoce,priceToOcf,priceToFcf,roic,pePremiumVsSector,pbPremiumVsSector,divYieldVsSector,sectorPe,priceToSales,pegRatio
30,Muthoot Finance,MUTHOOTFIN,66375.67,2.76,15.96,1.33,598.2502966,103.59,17.3154,19.657864543932156,Large Cap,1.33,10,1.2112181828089563,77.116438235346,29.342999770686706,8.738973452576246,9.44,1.3305929717922245,2.4548478108577805,0.9414795659366296,13.558354691637376,8.456564630121397,-10.152429446107394,80.19,10.349984583634884,-0.18811120280476168,0.12430594996257316,0.38852043406337045,19.657864543932156,4.68,-1.2089557522123886
31,Marico,MARICO,65921.55,15.63,45.0,0.88,32.5817497,11.32,33.444,55.52792057984704,Large Cap,0.88,1,5.245255997135696,22.589703588143525,15.236609464378576,6.567977119084763,31.59,0.8805921584064695,10.427138728518374,0.4725635840376042,18.245497696203657,8.738528585420728,78.94796407185629,49.19,41.01496493668259,-0.1895968815311262,0.4989730554990821,0.4074364159623958,55.52792057984704,6.62,8.895465384615392
32,Vodafone Idea,IDEA,64841.52,0.0,0.0,0.0,-18.6818232,-6.16,34.0728,60.77853390088734,Large Cap,0.0,10,-3.761783235736238,42.1215571510572,-72.25800077161219,7.175394980756744,15.51,0.0,-7.747986239221489,0.3393181017361779,18.693401156936552,5.172344474747609,6.6798722571340265,1.69,-3.7328661071581135,-1.0,-1.0,-0.3393181017361779,60.77853390088734,1.53,0.0
33,NMDC,NMDC,63843.25,2.61,9.92,3.03,83.5570931,21.95,20.4412,12.253064992676011,Large Cap,3.03,1,5.131437618057174,44.89855059843029,27.890348821064055,2.50411249976415,3.23,3.029704784765813,3.680811664030464,9.98540549538308,29.8966504994571,17.212728424372028,11.482784793279029,57.03,45.38645171726316,-0.19040664471057223,-0.2909172654756077,-6.955405495383081,12.253064992676011,3.07,-0.14132712246431253
34,Persistent Systems,PERSISTENT,61573.01,13.93,59.8,0.62,286.8393379,66.84,22.2127,30.292370582604843,Large Cap,0.62,5,4.09470700026763,18.382611849193616,10.855259690012375,6.522186296193997,22.42,0.620645311963797,8.073141815798378,2.129552408102215,26.14271504587039,23.099079927487345,144.5952845032055,110.69,25.363899483698848,0.9740944287252211,0.7254744581273553,-1.509552408102215,30.292370582604843,6.54,1.1446658714380387
35,Linde India,LINDEINDIA,57829.22,17.81,135.14,0.18,380.6703799,50.18,12.8718,42.296688502061656,Large Cap,0.18,10,2.46685770647316,28.788951329798756,15.455208679446988,21.32253145721674,37.88,0.17696244217023852,4.689428384313483,0.6061709369008352,10.69154825785023,9.45745867768827,340.55249985277663,222.72,18.998678540723727,2.195049182004234,2.7979042519501713,-0.42617093690083524,42.296688502061656,21.68,0.0
36,Steel Authority of India,SAIL,60367.63,1.08,19.46,1.03,135.6239252,7.51,5.747,19.678317595603907,Large Cap,1.03,10,0.661602751901397,11.091776507414751,3.170028250461964,0.8468695633158635,6.52,1.026343919746394,2.3733389427714564,0.8053304071198972,11.865242778050897,9.132812914906564,17.546536334121026,-8.07,5.957951084004391,-0.011094322192090167,-0.5449448957598806,0.2246695928801028,19.678317595603907,0.57,-0.19155929421419776
37,Persistent Systems,PERSISTENT,61573.01,13.93,59.8,0.62,286.8393379,66.84,22.2127,30.292370582604843,Large Cap,0.62,5,4.09470700026763,18.382611849193616,10.855259690012375,6.522186296193997,22.42,0.620645311963797,8.073141815798378,2.129552408102215,26.14271504587039,23.099079927487345,144.5952845032055,110.69,25.363899483698848,0.9740944287252211,0.7254744581273553,-1.509552408102215,30.292370582604843,6.54,1.1446658714380387
38,L&T Technology Services,LTTS,61392.22,12.82,47.12,0.77,452.8488685,123.19,26.3813,30.292370582604843,Large Cap,0.77,2,4.598431422379409,22.131156187040496,13.742181154604813,6.460313492189067,18.44,0.7733064547918287,8.073141815798378,2.129552408102215,26.14271504587039,23.099079927487345,107.64899175872348,52.9,30.56225497642004,0.5555071819654249,0.5879815185350106,-1.359552408102215,30.292370582604843,6.5,1.3697986660079045
39,General Insurance Corporation of India,GICRE,59903.99,1.25,8.76,2.11,272.3091085,38.96,0.0,19.255216848564455,Large Cap,2.11,5,1.0281692558403064,22.995857678402665,20.01076863078529,1.0563856985087878,0.0,2.1086541981594213,5.90708411881657,0.3874009441912871,35.646037608309975,0.9600742968547222,10.716814080132814,5.16,27.253852446422865,-0.5450583564498735,-0.7883896733384549,1.7225990558087128,19.255216848564455,1.71,0.017068108974358974
40,Aurobindo Pharma,AUROPHARMA,65844.85,2.34,23.77,0.67,481.0880087,47.28,8.2496,36.855266579166205,Large Cap,0.67,1,1.814693517244656,20.473628414805418,10.188012503964119,2.37079255198659,7.39,0.6673642661498963,4.981704250692763,0.6762067459937198,12.658428216991208,11.475975561913504,43.88837417015491,-435.59,10.803863482524404,-0.3550446867901136,-0.5302812286227959,-0.006206745993719731,36.855266579166205,2.39,-0.5790986970684039
41,PI Industries,PIIND,58739.95,7.36,36.88,0.26,526.10538,104.97,18.7397,37.2708697854728,Large Cap,0.26,1,4.552431860734346,28.36030118551746,21.261881875467264,7.5098285805831475,25.62,0.258767670043982,2.772880499041054,1.0211106695980858,4.050175717232024,5.04379167858188,87.71084067492906,48.45,25.38010023119283,-0.010487272975452377,1.6542795488465192,-0.7611106695980858,37.2708697854728,7.73,0.8184334909377462
42,Suzlon Energy,SUZLON,57581.27,17.0,83.69,0.0,2.5113037,0.51,9.9534,77.84219916443516,Large Cap,0.0,2,1.9474522854461167,19.341162370683556,7.72261570856672,9.634639744987558,3.15,0.0,8.631462954918414,0.17264536551136458,8.584926522317764,6.1752565338990175,-181.10734729823236,101.4,21.175645170354866,0.07512378758996574,0.9695386620773243,-0.17264536551136458,77.84219916443516,9.65,-0.002426086956521739
43,Tata Communications,TATACOMM,58774.13,40.44,60.39,1.02,50.9898246,34.15,90.9889,60.77853390088734,Large Cap,1.02,10,1.1356531953788769,21.726180578440353,4.626877855140993,3.371360057402632,9.04,1.0183051624924095,-7.747986239221489,0.3393181017361779,18.693401156936552,5.172344474747609,45.17334060933993,17.66,15.58957590676249,-0.0063926171947636945,-6.219420730936065,0.6806818982638221,60.77853390088734,2.95,1.0098989151873767
44,Jindal Stainless,JSL,57887.45,4.37,19.44,0.36,160.8398179,36.17,21.0164,19.678317595603907,Large Cap,0.36,2,3.0774729691607643,13.270289577509425,7.461915601696063,1.6094049086872224,7.03,0.3556254421295117,2.3733389427714564,0.8053304071198972,11.865242778050897,9.132812914906564,21.347763714947412,32.25,18.206031185486342,-0.01211066924019688,0.8412877828975205,-0.44533040711989724,19.678317595603907,1.5,-0.19711683402244534
45,Alkem Laboratories,ALKEM,58739.89,5.97,37.34,1.02,823.1918203,131.58,14.5587,36.855266579166205,Large Cap,1.02,2,2.9883744033768536,18.015554408771003,13.392368113620318,4.457856986820068,22.87,1.0176219260880468,4.981704250692763,0.6762067459937198,12.658428216991208,11.475975561913504,62.8287874898387,37.63,23.173032731288817,0.013152351504297943,0.19838507056491816,0.34379325400628025,36.855266579166205,4.61,-1.0299847328244274
46,Central Bank of India,CENTRALBK,56981.69,2.08,23.36,0.0,31.5847546,2.81,8.907844624042783,14.540778488104875,Large Cap,0.0,10,0.71,68.64153135067752,8.2376812532716,0.0,20.24,0.0,2.1522622613997844,0.8524867847787806,14.315278023886657,5.508082532503328,-8.112796995307303,32.23,0.0,0.6065164612135254,-0.03357502600672213,-0.8524867847787806,14.540778488104875,1.64,0.22681159420289856
47,Abbott India,ABBOTINDIA,56602.14,18.21,49.41,1.22,1463.0211765,539.1,34.7847,45.98768009807105,Large Cap,1.22,10,6.585409177999428,28.16528080982243,19.91149519585077,9.503766494709177,33.17,1.2201393798891702,6.052663357714235,0.6762067459937195,12.252343680213835,12.186134273409824,82.79645422231324,65.03,92.5412773434217,0.0744181897114764,2.008592899321091,0.5437932540062804,45.98768009807105,9.83,2.6196784827975197
48,Mindtree Ltd. - (Amalgamated),MINDTREE,56635.04,9.99,29.95,0.79,343.6412444,114.63,33.358,30.292370582604843,Large Cap,0.79,10,5.809520005653138,23.042345651620114,15.538791509503735,4.593380667110421,28.13,0.7856620212504485,8.073141815798378,2.129552408102215,26.14271504587039,23.099079927487345,71.33775034639123,0.0,39.194759647613324,-0.01130220501136503,0.23743645633110422,-1.339552408102215,30.292370582604843,4.65,0.8800568907818682
